Transcript,Average_HalfLife
YMR261C,120.72800938586965
YLR102C,101.40788212035393
YDR118W,218.4109801423128
YDL008W,136.61769807444978
YOR303W,79.9870894014121
YPR055W,106.82773881601425
YJL031C,133.998192854056
YDR019C,84.53451680837122
YDR407C,95.19833690843704
YGR238C,79.65987145665088
YPR047W,99.48830832430055
YAL038W,255.49226468013873
YDR052C,182.4859453724518
YGR183C,384.77775876265
Q0105,109.76841186024971
Q0275,92.46035579220258
Q0130,114.36140707347575
Q0080,89.8409941238834
YOR334W,513.6575090887906
YGL093W,180.12244877354942
Q0140,129.76779921315654
YPR186C,174.70811984061487
YKL058W,113.28096612281979
YLL050C,100.92567654388938
YMR092C,155.5289936536553
YBL078C,121.40201855353112
YHR156C,84.92340721068506
YDR424C,107.14412843287977
YPL174C,95.10518833715633
YMR294W,157.21166038212294
YBL037W,127.59022812140596
YHL019C,147.27122801862666
YOR075W,158.71062345566742
YOR036W,84.83281252563495
YJL041W,318.8678701245813
YER094C,148.78969657989026
YIL075C,114.09971522989899
YPL167C,85.8449298606632
YIL139C,238.23491769300495
YMR061W,160.1285779524409
YBR167C,137.01782060502288
YDR364C,95.24742943989469
YMR268C,100.98301103931618
YBR152W,158.83794741927113
YKL074C,81.68060936190294
YCR018C,122.03771693765496
YDL132W,153.6916301393355
YKL142W,104.40473648552997
YPR166C,126.49712624985779
YFR049W,217.60318071797755
YIL143C,88.42280800790184
YJR052W,206.2967652245088
YNL250W,82.894830017052
YOL090W,87.23134673738214
YIR017C,587.6581906184161
YPL248C,84.97712589209631
YML039W,99.05567851336485
YMR050C,102.51956401377576
YBL005W-A,113.2364946738671
YKL152C,93.05610303174565
YLR134W,164.91575416287435
YLL024C,78.20431248431966
YMR186W,2485.0214789591632
YLR109W,83.04520403881858
YLL039C,97.49661603893132
YPL240C,334.36978677986264
YBR011C,158.4923824930543
YDR077W,768.5468538689099
YPR149W,140.5818140758651
YGR087C,145.85014699086867
YLR259C,174.35890879500644
YMR251W,647.4380983812972
YLR304C,90.09814280467545
YLR087C,134.03597912479722
YHR049W,81.28620899689625
YDR366C,86.55554432624324
YLR216C,275.2671646596392
YBR054W,90.48842742447692
YMR031W-A,120.81516000297529
YKL086W,2678.1038427751696
YER057C,84.25459561403457
YMR316C-A,327.13481086828796
YAL066W,107.62911443679745
YDR032C,87.61238937586621
YHR095W,112.99528467382407
YKL035W,704.991660882879
YFL013W-A,85.16416735415116
YHR008C,92.39336081541995
YBL026W,138.3585028493697
YDR063W,315.54055085831027
YOR027W,2114.9768862287638
YOR383C,100.61207636030538
YDR416W,13422.583210542785
YGL026C,92.00897920872767
YDL113C,114.43343172517287
YMR169C,192.31488495416045
YMR280C,153.73378279065216
YBR116C,416.9911815312087
YGL207W,109.05315497418862
YGL215W,196.71953803069277
YOR051C,84.38356007113534
YLR072W,241.29601918793574
YBR017C,89.13306672921202
YAL064W,225.2245342516325
YGR218W,102.17046475408222
YEL030W,1177.0530071971705
YOL037C,186.64977997176933
YMR173W-A,112.49402127665202
YPL121C,182.57591692467125
YGR137W,92.14722784689525
YOR345C,105.78273626077794
YFL026W,106.13632060845718
YDR159W,534.0449361086432
YDR503C,1753.767092634541
YNR001C,107.81780024009919
YBR047W,272.181794786731
YDL118W,4299.129990782539
YDL221W,165.86818623335824
YDR442W,78.6533788379535
YFL012W,88.01906497891328
YNR047W,245.10927375125698
YOL119C,934.9247610908579
YMR068W,108.58216762534654
YNL173C,120.44812762342744
YDL032W,204.30773828492397
YAL037W,260.9869068518734
YML117W-A,124.18736698167713
YOR315W,165.4428528961801
YOR166C,258.741445477055
YNR057C,101.36621521221167
YEL062W,82.21996823813245
YKL150W,118.2347583687922
YML003W,132.3271631086809
YBL062W,110.23371645464472
YDR275W,177.9014213746807
YMR103C,249.88206422676654
YNL155W,149.45600512109408
YOL106W,91.14680466271635
YEL006W,142.2327537424669
YMR090W,94.11008357715409
YMR010W,400.6443501185225
YLR303W,115.12998885841989
YJR120W,81.88084525981608
YPR007C,239.81958457196328
YMR045C,83.03383315197878
YKL157W,102.60839708847344
YHR136C,303.9735656735566
YPL058C,114.30309206502025
YDL223C,83.59212246890284
YAL058C-A,106.12684808992638
YIL155C,81.33926057057586
YDR274C,593.0460836165136
YPR154W,214.74450277901374
YJL119C,121.8964467079343
YLR363C,109.13320952613437
YAL017W,301.97832399818776
YDR029W,122.80397945534138
YLR423C,152.08109118450804
YML005W,101.32362523724362
YBR085W,83.40973100306216
YPR122W,92.85533886517904
YDR309C,82.62182911240858
YGL088W,79.65906770965991
YKL199C,114.74049714061444
YIR038C,101.16942529263575
YLR162W,1038.401673509053
YCL019W,98.9572892067693
YNL157W,89.29035140322576
YDR072C,109.35557428168062
YPL005W,314.10848503888263
YLR070C,156.50175216689388
YHR214C-B,100.2165867886925
Q0055,275.1678079148679
YNL120C,365.6041977951681
YLR302C,207.5329713201148
YGR136W,105.62555396324767
YER181C,81.84018356550067
YDL035C,285.6982893113009
YFL017W-A,592.4165304048767
YDL027C,126.32614969418792
YPR094W,105.76184673575979
YPR136C,104.6523929218168
YPL245W,230.97121226096363
YDL022W,82.31878213568733
YOR068C,180.46533961570114
YDR445C,100.94756765997306
YPR160W,1366.2738431149276
YLR081W,201.62314426158332
