Transcript,Average_HalfLife
YGL032C,16.45568760138468
YLR127C,12.115526463889015
YOR249C,15.892000533556194
YML102W,15.30183081028235
YBR195C,15.591535303244962
YHR060W,13.969423046288114
YJL164C,15.942271208414105
YHR135C,15.731797163463765
YDR188W,13.913644673529339
YGR108W,14.52308473809858
YPL219W,13.241961757446184
YPL042C,13.825367174702441
YML094W,15.844095652806521
YGL155W,15.734619716279989
YCR034W,13.811567234964278
YMR263W,12.42934565892547
YKL089W,13.510783048079183
YMR080C,15.425101389589528
YGL100W,14.010849895592338
YBR010W,15.385320739822667
YNL030W,13.098820143075526
YDR225W,13.756965993015836
YBL002W,14.108985407444395
YBL003C,14.952919672968864
YBR009C,15.63644260034917
YNL031C,16.394061641590422
YMR035W,16.539669826451675
YDL040C,15.776933975212495
YHR013C,11.762827749456171
YKR008W,14.63424276987571
YLR321C,13.56528119653657
YOR213C,9.024081507166127
YDL017W,13.163588410988663
YJL194W,11.0529559826612
YKL016C,15.021652137625017
YER070W,13.476704884492863
YJL209W,15.173919532450437
YLR382C,8.237807194382274
YOR257W,13.344177691680363
YNL188W,14.546756942379691
YOL069W,7.977805923097753
YMR282C,9.202483204966953
YCR046C,13.241648206126506
YOR358W,16.621701762274995
YGL130W,14.944550471854521
YBL014C,14.511903968928697
YLR141W,6.582836035226242
YPL086C,8.518187462295808
YKR062W,16.078097084868165
YGR005C,9.680581142604794
YIR022W,13.098792166447554
YKL122C,12.260829877515198
YLR288C,12.358759308541611
YPR025C,14.209919326897602
YML104C,11.57308575423491
YKL079W,14.97956620141762
YOR272W,10.639878919733237
YOR058C,14.778567709912451
YMR138W,12.337743956379706
YPR141C,8.977535209773482
YPL254W,8.53393514728116
YDR392W,15.119495117791997
YGL112C,14.375088507949053
YGR261C,14.508037681928334
YOR106W,8.289602629482072
YGL212W,9.933377885913764
YBR091C,12.682432059114614
YLL004W,13.008194335293961
YBR060C,14.195009359029894
YBR202W,16.374311982667976
YBR278W,13.729354326189886
YPR175W,12.724698353436906
YKL113C,14.311972697744853
YOL094C,16.057672302394536
YNL290W,15.352714089516986
YIR008C,10.95326069088099
YBL035C,14.1552331695362
YLR115W,15.855598224943705
YDR280W,5.1280013579122805
YHR069C,14.395580338247052
YHR062C,16.146143697297763
YBR257W,7.790567964221442
YLR197W,14.749941159265367
YOR310C,16.42780571327674
YDL014W,14.422186051946136
YDR197W,15.011871812086838
YLR147C,14.918021275699447
YGR074W,15.435405825227559
YML046W,13.413708171932196
YIL061C,4.298769262581352
YHL034C,14.856983323601506
YLL008W,11.621694187065799
YOR048C,15.997960187320766
YMR239C,7.096904429053726
YAR008W,15.180218181037603
YLR375W,16.012882292207482
YLR105C,15.515434218179136
YMR023C,16.537303107603762
YMR260C,15.976495149399884
YER025W,15.455219224562029
YKR026C,10.659450697289246
YPR163C,11.255238136966495
YOR276W,15.61088244452605
YGL049C,16.16244095065312
YLR029C,16.24841216615454
YMR242C,14.169707489688685
YOR063W,12.674633956805975
YPR102C,15.828697937310082
YPL131W,14.869597367093304
YOL039W,16.46332287737231
YBR031W,12.152114371306114
YDR012W,11.339867343217916
YNL178W,12.386868601391768
YKL170W,15.261057714880732
YGR076C,16.58295600194599
YBR251W,14.01657145839505
YNL113W,11.429042301887838
YBR154C,16.03885063887771
YHR143W-A,12.293582182548553
YPL022W,15.948538122727449
YDR369C,9.783844215639785
YNL082W,15.62577316947793
YMR167W,9.436059491982512
YOR363C,13.573721183608466
YIL106W,15.793754891005824
YML099C,15.391351948009389
YDR397C,8.433416861216255
YLR182W,14.441480651896828
YDL056W,11.465186075659778
YBL093C,16.084607386202556
YMR112C,15.71720323355372
YBR193C,8.070173819953242
YDL005C,12.801884787372416
YHR058C,16.471054880138755
YOL135C,10.239253218815545
YPL129W,11.817993960442903
YML015C,16.193149736467202
YCR042C,15.996222467826698
YDR086C,14.359463611198896
YLR378C,15.753652498795025
YOR254C,12.18200560192255
YLR292C,12.347870878376094
YPL094C,15.213153449041839
YPL187W,12.012252127228914
YDL055C,14.273209095945314
YLR198C,14.584108620986372
YMR307W,13.448259749082
YLR355C,13.620840220717369
YIL053W,15.155271987278278
YER072W,16.59883228876182
YEL026W,13.039807078461946
YGL089C,15.298277680164029
YLR359W,14.204238936231116
YGR037C,12.000639878335265
YDR233C,14.318439200644043
YGR228W,16.363271054691594
YLR300W,11.913060025694584
YDR381W,15.253452108600316
YML106W,12.546924992523728
YJR143C,13.072807954053111
YGR069W,15.950863087803478
YER036C,15.0098047014225
YER055C,12.763779742427268
YDR345C,16.15982000819814
YML126C,13.538462850516964
YNL220W,14.538215009578227
YPL238C,14.976299502107885
YOR232W,14.210915814227908
YJR070C,13.599751685726005
YJR071W,16.33368634041879
YML125C,14.994185363172123
YGR103W,9.715604020157429
YGL148W,15.156406912445147
YDL050C,13.65593700257176
YNL002C,15.25195975788403
YLR372W,12.613044862490705
YER120W,13.268223333691862
YBR187W,11.95529549597235
YBR041W,16.341474810359017
YGL012W,13.177463366825561
YDL182W,10.282790248279925
YLR009W,11.875550942219697
YKL178C,11.427613223003783
YDL131W,12.749227999709397
YNL175C,13.063528208459811
YLR413W,14.973436950879867
YER006W,14.898420815200275
YHL011C,16.458322222043947
YDR276C,13.374207049951837
YNL066W,16.19734671293749
YBR038W,7.879631214358959
YDL070W,13.55518857967271
YDR346C,14.934626538425945
YLR040C,16.093709353578912
YBL028C,14.531043643887518
YML022W,13.359140896191882
YDR496C,12.301885234855604
YLR196W,16.516557537927298
YHR143W,12.014044730275154
YDR365C,13.80508364527228
YBR283C,16.230357153545427
YOR252W,13.10594020148522
YDR227W,13.994471007503602
YNL179C,15.097717779076392
YER031C,15.761562387491498
YOR021C,12.401772812818942
YDR031W,16.601959896378137
YDR083W,10.171227496031952
YLR449W,13.029062686522261
YIL094C,12.495091725180082
YDL144C,15.510025565563685
YMR305C,9.453937635288865
YBL024W,15.617678954056146
YKL077W,15.964863765924918
YNL111C,16.0674594757684
YDR361C,9.711255100454487
YKL099C,16.113792720278568
YJL097W,16.43048658687632
YOR004W,7.2635026771418
YDR091C,15.259545138079615
YCR043C,11.055505692266186
YDR396W,10.530257883224579
YJR069C,8.364306248838451
YNL061W,15.796850557258074
YER002W,8.654236885647753
YGL069C,16.24687379954909
YDL063C,10.635625365570084
YNR067C,11.714330730193225
YEL046C,16.170071882123512
